Date,p1_infected,p1_recovered,p1_death,p1_infected_new,p1_recovered_new,p1_death_new,p2_infected,p2_recovered,p2_death,p2_infected_new,p2_recovered_new,p2_death_new,p3_infected,p3_recovered,p3_death,p3_infected_new,p3_recovered_new,p3_death_new,p4_infected,p4_recovered,p4_death,p4_infected_new,p4_recovered_new,p4_death_new,p5_infected,p5_recovered,p5_death,p5_infected_new,p5_recovered_new,p5_death_new,p6_infected,p6_recovered,p6_death,p6_infected_new,p6_recovered_new,p6_death_new,p7_infected,p7_recovered,p7_death,p7_infected_new,p7_recovered_new,p7_death_new,nepal_infected,nepal_recovered,nepal_death,nepal_infected_new,nepal_recovered_new,nepal_death_new,nepal_infected_new_ave,nepal_recovered_new_ave,nepal_death_new_ave
3/29/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,0,5,1,0,1,0,0
3/30/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0,0
3/31/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0,0
4/1/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0,0
4/2/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1,0,0,1,0,0
4/3/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0
4/4/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,9,1,0,3,0,0,0,0,0
4/5/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,0,0,0
4/6/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,0,0,0
4/7/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,1,0,0
4/8/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,1,0,0
4/9/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,1,0,0
4/10/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,1,0,0
4/11/20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,3,0,0
4/12/20,0,0,0,0,0,0,3,0,0,3,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,3,0,0,3,0,0
4/13/20,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,14,1,0,2,0,0,3,0,0
4/14/20,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,1,0,2,0,0,2,0,0
4/15/20,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,1,0,0,0,0,4,1,0
4/16/20,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,1,0,0,0,0,4,1,0
4/17/20,12,0,0,12,0,0,4,0,0,0,0,0,7,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,30,1,0,14,0,0,5,1,0
4/18/20,13,0,0,1,0,0,4,0,0,0,0,0,7,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,31,3,0,1,2,0,3,1,0
4/19/20,13,0,0,0,0,0,4,0,0,0,0,0,7,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,31,4,0,0,1,0,3,1,0
4/20/20,13,0,0,0,0,0,4,0,0,0,0,0,7,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,31,4,0,0,0,0,3,2,0
4/21/20,24,0,0,11,0,0,4,0,0,0,0,0,7,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,42,5,0,11,1,0,3,2,0
4/22/20,27,0,0,3,0,0,4,0,0,0,0,0,7,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,45,7,0,3,2,0,2,2,0
4/23/20,29,0,0,2,0,0,5,0,0,1,0,0,7,5,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,48,9,0,3,2,0,2,1,0
4/24/20,30,0,0,1,0,0,5,0,0,0,0,0,7,5,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,49,11,0,1,2,0,1,1,0
4/25/20,30,0,0,0,0,0,5,0,0,0,0,0,7,6,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,49,12,0,0,1,0,1,1,0
4/26/20,31,0,0,1,0,0,7,4,0,2,4,0,7,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,52,16,0,3,4,0,1,1,0
4/27/20,31,0,0,0,0,0,7,4,0,0,0,0,7,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,52,16,0,0,0,0,3,0,0
4/28/20,31,0,0,0,0,0,9,4,0,2,0,0,7,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,54,16,0,2,0,0,3,0,0
4/29/20,31,0,0,0,0,0,12,4,0,3,0,0,7,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,57,16,0,3,0,0,4,0,0
