Date,p7_test,p7_isolation,p7_quar,p7_infected,p7_recovered,p7_death
3/29/20,9,6,536,1,0,0
3/30/20,43,9,1479,1,0,0
3/31/20,31,14,1584,1,0,0
4/1/20,31,10,1861,1,0,0
4/2/20,45,31,2025,1,0,0
4/3/20,39,32,2143,1,0,0
4/4/20,44,35,1794,4,0,0
4/5/20,253,40,2314,4,0,0
4/6/20,11,54,2345,4,0,0
4/7/20,70,25,2225,4,0,0
4/8/20,91,48,2227,4,0,0
4/9/20,82,50,2237,4,0,0
4/10/20,283,53,2245,4,0,0
4/11/20,825,57,2251,4,0,0
4/12/20,427,53,1916,4,0,0
4/13/20,0,58,1501,5,0,0
4/14/20,593,11,902,5,0,0
4/15/20,177,9,893,5,0,0
4/16/20,177,9,893,5,0,0
4/17/20,166,12,580,5,0,0
4/18/20,29,10,733,5,0,0
4/19/20,219,14,928,5,1,0
4/20/20,236,10,1496,5,1,0
4/21/20,7,10,1735,5,2,0
4/22/20,273,10,1574,5,3,0
4/23/20,272,9,2198,5,3,0
4/24/20,427,8,2173,5,4,0
4/25/20,25,8,1397,5,4,0
4/26/20,532,8,1639,5,4,0
4/27/20,15,9,1309,5,4,0
4/28/20,15,8,1236,5,4,0
4/29/20,27,67,1662,5,4,0
4/30/20,70,68,1728,5,4,0
5/1/20,18,57,1927,5,4,0
5/2/20,18,9,2723,5,4,0
5/3/20,35,10,3032,5,4,0
5/4/20,27,11,3079,5,4,0
5/5/20,33,9,3033,5,4,0
5/6/20,352,12,3053,5,4,0
5/7/20,354,11,2999,5,4,0
5/8/20,352,11,2969,5,4,0
5/9/20,18,3,2921,5,5,0
5/10/20,16,3,2848,5,5,0
5/11/20,87,3,2802,5,5,0
5/12/20,61,5,2727,5,5,0
5/13/20,72,8,2774,5,5,0
5/14/20,395,6,2690,5,5,0
5/15/20,352,7,1698,5,5,0
5/16/20,352,6,1920,5,5,0
5/17/20,24,12,1663,5,5,0
5/18/20,23,20,1805,5,5,0
5/19/20,683,18,1898,5,5,0
5/20/20,30,12,2148,5,5,0
5/21/20,245,14,2530,5,5,0
5/22/20,367,35,3607,10,5,0
5/23/20,366,41,4702,14,5,0
5/24/20,405,25,6058,14,5,0
5/25/20,847,37,8428,15,5,0
5/26/20,536,37,11434,17,5,0
5/27/20,27,43,16048,17,5,0
5/28/20,18,40,17972,21,5,0
5/29/20,15,43,20463,21,5,0
5/30/20,165,45,22472,21,6,0
5/31/20,72,36,26979,27,6,1
6/1/20,120,41,28867,45,7,1
6/2/20,471,65,35232,73,7,1
6/3/20,46,76,41991,78,7,1
6/4/20,228,76,43576,81,7,1
6/5/20,236,77,44579,92,7,1
6/6/20,129,92,45483,103,7,2
6/7/20,16,133,46581,108,7,2
6/8/20,16,218,48021,108,7,2
6/9/20,773,243,48840,145,7,2
6/10/20,536,291,48394,161,7,2
6/11/20,536,450,47173,188,7,2
6/12/20,646,509,47423,188,7,2
6/13/20,723,600,46045,188,7,2
6/14/20,547,695,43855,252,7,2
6/15/20,739,910,42115,262,7,2
6/16/20,656,975,40611,338,49,2
6/17/20,558,999,38231,346,49,4
6/18/20,574,990,35267,591,49,4
6/19/20,749,984,33743,771,49,4
6/20/20,614,983,32911,865,49,4
6/21/20,960,1066,31591,967,94,4
6/22/20,1669,1479,33150,1063,115,4
6/23/20,590,1474,31724,1163,115,4
6/24/20,595,1406,31458,1483,115,4
6/25/20,581,1514,29895,1601,115,4
6/26/20,673,1930,31777,1785,115,4
6/27/20,878,2077,25289,1998,115,5
6/28/20,672,2105,24731,2125,115,5
6/29/20,906,2020,23815,2322,115,5
6/30/20,2333,1878,23073,2442,115,5
7/1/20,1384,1792,22377,2688,462,6
7/2/20,771,2029,22034,3008,557,6
7/3/20,1101,2239,17160,3123,648,6
7/4/20,1241,2293,16996,3170,669,6
7/5/20,1073,2222,15996,3266,728,6
7/6/20,2923,2113,15874,3279,765,6
7/7/20,3044,2111,15764,3368,832,6
7/8/20,3215,2051,15661,3459,923,6
7/9/20,3233,2082,15684,3494,923,6
7/10/20,3233,2082,15684,3497,923,6
7/11/20,1151,1922,15716,3502,939,6
7/12/20,1151,1922,15716,3508,959,6
7/13/20,1153,1922,15835,3524,1271,6
7/14/20,1153,1922,15835,3544,1271,6
7/15/20,1153,1922,15829,3547,1394,6
7/16/20,1153,1922,15829,3588,1435,6
7/17/20,1153,1922,15829,3591,1438,6
7/18/20,1153,1922,15829,3616,1480,6
7/19/20,1153,1922,15829,3642,1505,6
7/20/20,1153,1922,15829,3683,1531,6
7/21/20,1153,1922,15829,3715,1782,6
7/22/20,1153,1922,15829,3723,1870,6
7/23/20,1153,1922,15829,3769,1905,6
7/24/20,1153,1922,15829,3777,1905,6
7/25/20,1153,1922,15829,3800,1930,7
7/26/20,1153,1922,15829,3818,1930,7
7/27/20,1153,1922,15829,3822,2041,7
7/28/20,1153,1922,15829,3919,2041,7
7/29/20,1153,1922,15829,3989,2103,7
7/30/20,1153,1922,15829,3999,2105,7
7/31/20,1153,1922,15829,4086,2136,7
8/1/20,1153,1922,15829,4280,2136,7
8/2/20,1153,1922,15829,4305,2136,7
8/3/20,1153,1922,15829,4392,2165,7
8/4/20,1153,1922,15829,4423,2221,7
8/5/20,1153,1922,15829,4434,2224,7
8/6/20,1153,1922,15829,4474,2333,7
8/7/20,1153,1922,15829,4495,2483,7
8/8/20,1153,1922,15829,4506,2708,7
8/9/20,1153,1922,15829,4518,2748,7
8/10/20,1153,1922,15829,4538,2748,7
8/11/20,1153,1922,15829,4540,2757,7
8/12/20,1153,1922,15829,4555,2760,7
8/13/20,1153,1922,15829,4557,2838,8
8/14/20,1153,1922,15829,4576,3024,8
8/15/20,1153,1922,15829,4578,3080,8
8/16/20,1153,1922,15829,4586,3080,8
8/17/20,1153,1922,15829,4614,3080,8
8/18/20,1153,1922,15829,4664,3104,8
8/19/20,1153,1922,15829,4674,3104,8
8/20/20,1153,1922,15829,4727,3104,8
8/21/20,1153,1922,15829,4903,3108,8
8/22/20,1153,1922,15829,4919,3108,8
8/23/20,1153,1922,15829,4942,3119,8
8/24/20,1153,1922,15829,5049,3238,8
8/25/20,1153,1922,15829,5149,3390,8
8/26/20,1153,1922,15829,5204,3394,8
8/27/20,1153,1922,15829,5254,3453,8
8/28/20,1153,1922,15829,5275,3453,8
8/29/20,1153,1922,15829,5361,3494,8
8/30/20,1153,1922,15829,5436,3552,8
8/31/20,1153,1922,15829,5486,3737,8
9/1/20,1153,1922,15829,5601,3997,8
9/2/20,1153,1922,15829,5629,4303,8
9/3/20,1153,1922,15829,5671,4431,8
9/4/20,1153,1922,15829,5739,4541,8
9/5/20,1153,1922,15829,5767,4720,8
9/6/20,1153,1922,15829,5832,4809,8
9/7/20,1153,1922,15829,5844,4832,8
9/8/20,1153,1922,15829,5930,4859,8
9/9/20,0,402,934,5936,4880,8
9/10/20,0,328,1328,5960,5170,8
9/11/20,0,294,1516,6035,5178,8
9/12/20,0,294,1516,6050,5246,8
9/13/20,0,294,1516,6076,5260,8
9/14/20,0,294,1516,6166,5310,8
9/15/20,0,274,2207,6209,5345,8
9/16/20,0,274,2207,6224,5345,10
9/17/20,0,313,2639,6294,5359,11
9/18/20,0,313,2639,6341,5464,11
9/19/20,0,313,2639,6378,5499,11
9/20/20,0,313,2639,6419,5564,11
9/21/20,0,313,2639,6490,5584,11
9/22/20,0,425,2660,6491,5585,11
9/23/20,0,425,2660,6552,5596,11
9/24/20,0,425,2660,6618,5596,11
9/25/20,0,425,2660,6678,5657,11
9/26/20,0,425,2660,6715,5741,12
9/27/20,0,425,2660,6812,5758,13
